Connected: COM;2019-04-16T09:56:08
Connected: COM;2019-04-16T09:57:10
Sending: p1;2019-04-16T09:57:28
Sending: p;2019-04-16T09:57:31
Sending: v102;2019-04-16T09:59:46
Valve PWM: 1023;2019-04-16T09:59:46
Sending: v80;2019-04-16T10:24:05
Valve PWM: 800;2019-04-16T10:24:05
Sending: v79;2019-04-16T10:24:51
Valve PWM: 790;2019-04-16T10:24:51
Sending: v78;2019-04-16T10:24:57
Valve PWM: 780;2019-04-16T10:24:57
Sending: v77;2019-04-16T10:25:13
Valve PWM: 770;2019-04-16T10:25:13
FAILED TO CONNECT;2019-04-16T10:37:51
FAILED TO CONNECT;2019-04-16T10:37:55
Connected: COM;2019-04-16T10:37:58
Sending: v76;2019-04-16T10:52:31
Valve PWM: 760;2019-04-16T10:52:31
Sending: v75;2019-04-16T10:52:40
Valve PWM: 750;2019-04-16T10:52:40
Sending: v73;2019-04-16T10:52:45
Valve PWM: 730;2019-04-16T10:52:45
Sending: v70;2019-04-16T10:52:52
Valve PWM: 700;2019-04-16T10:52:52
Sending: v68;2019-04-16T10:53:06
Valve PWM: 680;2019-04-16T10:53:06
Sending: v66;2019-04-16T10:53:15
Valve PWM: 660;2019-04-16T10:53:15
Sending: v65;2019-04-16T10:53:29
Valve PWM: 650;2019-04-16T10:53:29
Connected: COM;2019-04-16T11:19:55
Sending: v65;2019-04-16T11:47:27
Valve PWM: 650;2019-04-16T11:47:27
Sending: v70;2019-04-16T11:49:44
Valve PWM: 700;2019-04-16T11:49:44
Sending: v65;2019-04-16T11:50:42
Valve PWM: 650;2019-04-16T11:50:42
Sending: v60;2019-04-16T11:53:23
Valve PWM: 600;2019-04-16T11:53:23
Sending: v62;2019-04-16T11:53:35
Valve PWM: 620;2019-04-16T11:53:35
Sending: v61;2019-04-16T11:53:42
Valve PWM: 610;2019-04-16T11:53:42
Sending: v60;2019-04-16T11:59:01
Valve PWM: 600;2019-04-16T11:59:01
Sending: v60;2019-04-16T12:05:19
Valve PWM: 605;2019-04-16T12:05:19
Sending: v61;2019-04-16T12:11:01
Valve PWM: 610;2019-04-16T12:11:01
Sending: v62;2019-04-16T12:13:02
Valve PWM: 620;2019-04-16T12:13:02
Sending: v61;2019-04-16T12:15:25
Valve PWM: 610;2019-04-16T12:15:25
Sending: v61;2019-04-16T12:18:26
Valve PWM: 615;2019-04-16T12:18:26
Sending: v63;2019-04-16T12:26:22
Valve PWM: 630;2019-04-16T12:26:22
Sending: v70;2019-04-16T12:32:37
Valve PWM: 700;2019-04-16T12:32:37
Connected: COM;2019-04-16T12:43:25
Dbg: 18021312 - 3856 | 560 496 13;2019-04-16T12:45:50
Sending: p231.80770864403;2019-04-16T12:45:50
Sending: p231.75964281886;2019-04-16T12:45:51
Sending: p231.95525947333;2019-04-16T12:45:52
Sending: p231.95540843245;2019-04-16T12:45:53
Sending: p231.80830413216;2019-04-16T12:45:54
Sending: p231.98021038631;2019-04-16T12:45:55
Sending: p232.25026908853;2019-04-16T12:45:56
Sending: p231.75994047091;2019-04-16T12:45:57
Sending: p232.24997081278;2019-04-16T12:45:58
Sending: p231.61314151452;2019-04-16T12:45:59
Sending: p232.20014841777;2019-04-16T12:46:00
Sending: p232.10292871418;2019-04-16T12:46:01
Sending: p231.61239783390;2019-04-16T12:46:02
Sending: p231.95540843245;2019-04-16T12:46:03
Sending: p231.88206491787;2019-04-16T12:46:04
Sending: p231.90700589621;2019-04-16T12:46:06
Sending: p231.83353289322;2019-04-16T12:46:07
Sending: p232.27451413228;2019-04-16T12:46:08
Sending: p231.85712727563;2019-04-16T12:46:09
Sending: p231.75979164634;2019-04-16T12:46:10
Sending: p231.98006141728;2019-04-16T12:46:11
Sending: p231.53889394064;2019-04-16T12:46:12
Sending: p231.46645999845;2019-04-16T12:46:13
Sending: p231.56453202152;2019-04-16T12:46:14
Sending: p231.78382301072;2019-04-16T12:46:15
Sending: p231.75949398846;2019-04-16T12:46:16
Sending: p231.66131760780;2019-04-16T12:46:17
Sending: p231.39301465634;2019-04-16T12:46:18
Sending: p231.22210299874;2019-04-16T12:46:19
Sending: p231.75979164634;2019-04-16T12:46:20
Sending: p231.34476068750;2019-04-16T12:46:21
Sending: p231.0506088906;2019-04-16T12:46:22
Sending: p231.07499223118;2019-04-16T12:46:23
Sending: p231.05075727484;2019-04-16T12:46:24
Sending: p231.22180603144;2019-04-16T12:46:25
Sending: p230.73377286518;2019-04-16T12:46:26
Sending: p231.27032455197;2019-04-16T12:46:27
Sending: p230.80710239196;2019-04-16T12:46:29
Sending: v60;2019-04-16T12:46:29
Valve PWM: 600;2019-04-16T12:46:29
Sending: p230.9045253751;2019-04-16T12:46:30
Sending: p230.75900312953;2019-04-16T12:46:31
Sending: p231.02682225704;2019-04-16T12:46:32
Sending: p230.90526678291;2019-04-16T12:46:33
Sending: p230.87971992742;2019-04-16T12:46:34
Sending: p230.46697462217;2019-04-16T12:46:35
Sending: p230.83219444196;2019-04-16T12:46:36
Sending: p230.61300453759;2019-04-16T12:46:37
Sending: p231.00244535392;2019-04-16T12:46:38
Sending: p231.00214866273;2019-04-16T12:46:39
Sending: p230.83189798142;2019-04-16T12:46:40
Sending: p230.49113214608;2019-04-16T12:46:41
Sending: p230.92992729758;2019-04-16T12:46:42
Sending: p230.85625215083;2019-04-16T12:46:43
Sending: p231.09937882246;2019-04-16T12:46:44
Sending: p230.87986820783;2019-04-16T12:46:45
Sending: p230.92918584066;2019-04-16T12:46:46
Sending: p231.05090565610;2019-04-16T12:46:47
Sending: p230.20012291680;2019-04-16T12:46:48
Sending: p230.22409722004;2019-04-16T12:46:49
Sending: p229.30425415432;2019-04-16T12:46:50
Sending: p227.98119134675;2019-04-16T12:46:51
Sending: p226.28709216977;2019-04-16T12:46:53
Sending: p224.6321073893;2019-04-16T12:46:54
Sending: p222.52689984572;2019-04-16T12:46:55
Sending: p219.57563798411;2019-04-16T12:46:56
Sending: p216.47145974187;2019-04-16T12:46:57
Sending: p212.91643172044;2019-04-16T12:46:58
Sending: p208.93973782900;2019-04-16T12:46:59
Sending: p205.1205175181;2019-04-16T12:47:00
Sending: p200.7947376012;2019-04-16T12:47:01
Sending: p196.36494711145;2019-04-16T12:47:02
Sending: p191.96124082654;2019-04-16T12:47:03
Sending: p187.36236296211;2019-04-16T12:47:04
Sending: p183.17439361030;2019-04-16T12:47:05
Sending: p178.68069582674;2019-04-16T12:47:06
Sending: p174.06758385003;2019-04-16T12:47:07
Sending: p169.42097630065;2019-04-16T12:47:08
Sending: p165.04083308744;2019-04-16T12:47:09
Sending: p160.64695811463;2019-04-16T12:47:10
Sending: p156.77079656698;2019-04-16T12:47:11
Sending: p152.73491923169;2019-04-16T12:47:12
Sending: p145.44939820907;2019-04-16T12:47:13
Sending: p141.92785990582;2019-04-16T12:47:14
Sending: p138.74194258781;2019-04-16T12:47:16
Sending: p135.49283746575;2019-04-16T12:47:17
Sending: p132.42059120089;2019-04-16T12:47:18
Sending: p129.58670164958;2019-04-16T12:47:19
Sending: p126.92923320717;2019-04-16T12:47:20
Sending: p124.23624094170;2019-04-16T12:47:21
Sending: p121.80873236492;2019-04-16T12:47:22
Sending: p119.49189206880;2019-04-16T12:47:23
Sending: p117.57402652371;2019-04-16T12:47:24
Sending: p115.45544116827;2019-04-16T12:47:25
Sending: p113.75586993200;2019-04-16T12:47:26
Sending: p111.93627582730;2019-04-16T12:47:27
Sending: p110.32720814922;2019-04-16T12:47:28
Sending: p108.75432475497;2019-04-16T12:47:29
Sending: p107.15111102303;2019-04-16T12:47:30
Sending: p105.79771904973;2019-04-16T12:47:31
Sending: p104.66709526926;2019-04-16T12:47:32
Sending: p103.34105205961;2019-04-16T12:47:33
Sending: p102.11490635326;2019-04-16T12:47:34
Sending: p101.10888156223;2019-04-16T12:47:35
Sending: p99.816577303101;2019-04-16T12:47:36
Sending: p98.870496685744;2019-04-16T12:47:37
Sending: p98.028721198138;2019-04-16T12:47:39
Sending: p96.017861716197;2019-04-16T12:47:40
Sending: p95.418635201380;2019-04-16T12:47:41
Sending: p94.494740334599;2019-04-16T12:47:42
Sending: p93.670010104127;2019-04-16T12:47:43
Sending: p92.990759845168;2019-04-16T12:47:44
Sending: p92.188633876470;2019-04-16T12:47:45
Sending: p91.615988966017;2019-04-16T12:47:46
Sending: p91.055025687843;2019-04-16T12:47:47
Sending: p90.380565899889;2019-04-16T12:47:48
Sending: p89.859010752548;2019-04-16T12:47:49
Sending: p89.287028327524;2019-04-16T12:47:50
Sending: p88.902428623184;2019-04-16T12:47:51
Sending: p88.558439550416;2019-04-16T12:47:52
Sending: p88.085765747915;2019-04-16T12:47:53
Sending: p87.80584047258;2019-04-16T12:47:54
Sending: p87.187680711858;2019-04-16T12:47:55
Sending: p86.88785461962;2019-04-16T12:47:56
Sending: p86.351357376865;2019-04-16T12:47:57
Sending: p85.839926599904;2019-04-16T12:47:58
Sending: p85.582116491648;2019-04-16T12:47:59
Sending: p85.171038283961;2019-04-16T12:48:01
Sending: p84.885936850923;2019-04-16T12:48:02
Sending: p84.398617289537;2019-04-16T12:48:03
Sending: p84.123947727611;2019-04-16T12:48:04
Sending: p83.749301579395;2019-04-16T12:48:05
Sending: p83.168782342753;2019-04-16T12:48:06
Sending: p82.763121980871;2019-04-16T12:48:07
Sending: p82.415929962975;2019-04-16T12:48:08
Sending: p82.260863710475;2019-04-16T12:48:09
Sending: p81.972212968190;2019-04-16T12:48:10
Sending: p81.761633909615;2019-04-16T12:48:11
Sending: p81.488858572681;2019-04-16T12:48:12
Sending: p81.390946698966;2019-04-16T12:48:13
Sending: p81.154445368089;2019-04-16T12:48:14
Sending: p80.911323786542;2019-04-16T12:48:15
Sending: p80.696923018454;2019-04-16T12:48:16
Sending: p80.462137895218;2019-04-16T12:48:17
Sending: p80.104733323471;2019-04-16T12:48:18
Sending: p80.001520843894;2019-04-16T12:48:20
Sending: p79.714773648918;2019-04-16T12:48:21
Sending: p79.687333137424;2019-04-16T12:48:22
Sending: p79.524021496025;2019-04-16T12:48:23
Sending: p79.394871719369;2019-04-16T12:48:24
Sending: p79.272572114496;2019-04-16T12:48:25
Sending: p79.049206827988;2019-04-16T12:48:26
Sending: p78.907210335300;2019-04-16T12:48:27
Sending: p78.78574751159;2019-04-16T12:48:28
Sending: p78.650922576494;2019-04-16T12:48:29
Sending: p78.523054509420;2019-04-16T12:48:30
Sending: p78.261727899277;2019-04-16T12:48:31
Sending: p78.214942392380;2019-04-16T12:48:32
Sending: p77.981401521343;2019-04-16T12:48:33
Sending: p77.914301535538;2019-04-16T12:48:34
Sending: p77.761332858617;2019-04-16T12:48:35
Sending: p77.681744731152;2019-04-16T12:48:36
Sending: p77.615560727471;2019-04-16T12:48:37
Sending: p77.602141605562;2019-04-16T12:48:38
Sending: p77.509370098960;2019-04-16T12:48:39
Sending: p77.463052416001;2019-04-16T12:48:40
Sending: p77.337293321136;2019-04-16T12:48:41
Sending: p77.377017809107;2019-04-16T12:48:43
Sending: p77.416465193187;2019-04-16T12:48:44
Sending: p77.350615245701;2019-04-16T12:48:45
Sending: p77.363989219225;2019-04-16T12:48:46
Sending: p77.330881524186;2019-04-16T12:48:47
Sending: p77.357426105808;2019-04-16T12:48:48
Sending: p77.238198616734;2019-04-16T12:48:49
Sending: p77.304197468872;2019-04-16T12:48:50
Sending: p77.323973771697;2019-04-16T12:48:51
Sending: p77.277919928318;2019-04-16T12:48:52
Sending: p77.165365093743;2019-04-16T12:48:53
Sending: p77.284426412650;2019-04-16T12:48:54
Sending: p77.192098626019;2019-04-16T12:48:55
Sending: p77.185600202268;2019-04-16T12:48:56
Sending: p77.17225819411;2019-04-16T12:48:57
Sending: p77.17245640096;2019-04-16T12:48:58
Sending: p77.047235988087;2019-04-16T12:48:59
Sending: p76.968060201825;2019-04-16T12:49:00
Sending: p76.889215498938;2019-04-16T12:49:01
Sending: p76.882792864111;2019-04-16T12:49:02
Sending: p76.744596445380;2019-04-16T12:49:04
Sending: p76.600504616457;2019-04-16T12:49:05
Sending: p76.60719798371;2019-04-16T12:49:06
Sending: p76.535176752600;2019-04-16T12:49:07
Sending: p76.417604022741;2019-04-16T12:49:08
Sending: p76.391393082719;2019-04-16T12:49:09
Sending: p76.345815887089;2019-04-16T12:49:10
Sending: p76.247643415498;2019-04-16T12:49:11
